Parameter,coniferous,deciduous,agricultural,mixed,mixed,wetland,water
ds,1.00E+01,1.00E+01,2.00E+00,1.00E+01,1.00E+01,2.00E+01,0.00E+00
dsfs,1.00E+01,1.00E+01,2.00E+00,1.00E+01,1.00E+01,2.00E+01,0.00E+00
Re,8.00E-01,8.00E-01,5.00E-01,8.00E-01,8.00E-01,4.12E+01,1.00E+00
AK,1.20E+01,1.20E+01,3.00E+00,1.20E+01,1.20E+01,1.60E+01,0.00E+00
AKfs,1.20E+00,1.20E+00,2.00E+00,1.20E+00,1.20E+00,1.60E+01,0.00E+00
retn,7.00E+01,7.00E+01,5.00E+01,7.00E+01,7.00E+01,9.00E+01,1.00E-01
ak2,5.00E-02,2.40E-02,6.60E-02,5.00E-02,5.00E-02,2.00E-02,0.00E+00
ak2,5.00E-02,2.40E-02,6.60E-02,5.00E-02,5.00E-02,2.00E-02,0.00E+00
R3,8.48E+00,8.48E+00,1.97E+01,8.48E+00,8.48E+00,8.48E+00,0.00E+00
R3fs,1.00E+01,1.00E+01,2.00E+01,1.00E+01,1.00E+01,1.00E+01,0.00E+00
r4,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,0.00E+00
ch,9.00E-01,9.00E-01,8.00E-01,7.00E-01,7.00E-01,6.00E-01,6.00E+00
MF,1.00E-01,1.00E-01,1.10E-01,1.00E-01,1.00E-01,1.00E-01,1.50E-01
BASE,1.00E+00,1.00E+00,-1.00E+00,1.00E+00,1.00E+00,-2.00E+00,0.00E+00
NMF,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
